stimulus_id,audio
stim_0106,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0106.mp3"" type=""audio/mpeg""></audio>"
stim_0075,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0075.mp3"" type=""audio/mpeg""></audio>"
stim_0110,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0110.mp3"" type=""audio/mpeg""></audio>"
stim_0028,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0028.mp3"" type=""audio/mpeg""></audio>"
stim_0071,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0071.mp3"" type=""audio/mpeg""></audio>"
stim_0108,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0108.mp3"" type=""audio/mpeg""></audio>"
stim_0051,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0051.mp3"" type=""audio/mpeg""></audio>"
stim_0144,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0144.mp3"" type=""audio/mpeg""></audio>"
stim_0092,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0092.mp3"" type=""audio/mpeg""></audio>"
stim_0064,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0064.mp3"" type=""audio/mpeg""></audio>"
stim_0171,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0171.mp3"" type=""audio/mpeg""></audio>"
stim_0066,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0066.mp3"" type=""audio/mpeg""></audio>"
stim_0180,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0180.mp3"" type=""audio/mpeg""></audio>"
stim_0093,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0093.mp3"" type=""audio/mpeg""></audio>"
stim_0181,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0181.mp3"" type=""audio/mpeg""></audio>"
stim_0059,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0059.mp3"" type=""audio/mpeg""></audio>"
stim_0038,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0038.mp3"" type=""audio/mpeg""></audio>"
stim_0048,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0048.mp3"" type=""audio/mpeg""></audio>"
stim_0145,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0145.mp3"" type=""audio/mpeg""></audio>"
stim_0179,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0179.mp3"" type=""audio/mpeg""></audio>"
stim_0061,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0061.mp3"" type=""audio/mpeg""></audio>"
stim_0176,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0176.mp3"" type=""audio/mpeg""></audio>"
stim_0099,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0099.mp3"" type=""audio/mpeg""></audio>"
stim_0188,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0188.mp3"" type=""audio/mpeg""></audio>"
stim_0122,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0122.mp3"" type=""audio/mpeg""></audio>"
stim_0139,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0139.mp3"" type=""audio/mpeg""></audio>"
stim_0007,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0007.mp3"" type=""audio/mpeg""></audio>"
stim_0060,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0060.mp3"" type=""audio/mpeg""></audio>"
stim_0143,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0143.mp3"" type=""audio/mpeg""></audio>"
stim_0010,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0010.mp3"" type=""audio/mpeg""></audio>"
stim_0116,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0116.mp3"" type=""audio/mpeg""></audio>"
stim_0039,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0039.mp3"" type=""audio/mpeg""></audio>"
stim_0128,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0128.mp3"" type=""audio/mpeg""></audio>"
stim_0053,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0053.mp3"" type=""audio/mpeg""></audio>"
stim_0065,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0065.mp3"" type=""audio/mpeg""></audio>"
stim_0173,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0173.mp3"" type=""audio/mpeg""></audio>"
stim_0022,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0022.mp3"" type=""audio/mpeg""></audio>"
stim_0044,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0044.mp3"" type=""audio/mpeg""></audio>"
stim_0132,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0132.mp3"" type=""audio/mpeg""></audio>"
stim_0140,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0140.mp3"" type=""audio/mpeg""></audio>"
stim_0183,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0183.mp3"" type=""audio/mpeg""></audio>"
