stimulus_id,audio
stim_0089,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0089.mp3"" type=""audio/mpeg""></audio>"
stim_0054,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0054.mp3"" type=""audio/mpeg""></audio>"
stim_0119,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0119.mp3"" type=""audio/mpeg""></audio>"
stim_0036,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0036.mp3"" type=""audio/mpeg""></audio>"
stim_0011,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0011.mp3"" type=""audio/mpeg""></audio>"
stim_0061,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0061.mp3"" type=""audio/mpeg""></audio>"
stim_0095,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0095.mp3"" type=""audio/mpeg""></audio>"
stim_0129,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0129.mp3"" type=""audio/mpeg""></audio>"
stim_0117,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0117.mp3"" type=""audio/mpeg""></audio>"
stim_0017,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0017.mp3"" type=""audio/mpeg""></audio>"
stim_0139,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0139.mp3"" type=""audio/mpeg""></audio>"
stim_0183,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0183.mp3"" type=""audio/mpeg""></audio>"
stim_0013,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0013.mp3"" type=""audio/mpeg""></audio>"
stim_0016,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0016.mp3"" type=""audio/mpeg""></audio>"
stim_0092,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0092.mp3"" type=""audio/mpeg""></audio>"
stim_0060,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0060.mp3"" type=""audio/mpeg""></audio>"
stim_0070,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0070.mp3"" type=""audio/mpeg""></audio>"
stim_0179,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0179.mp3"" type=""audio/mpeg""></audio>"
stim_0141,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0141.mp3"" type=""audio/mpeg""></audio>"
stim_0043,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0043.mp3"" type=""audio/mpeg""></audio>"
stim_0033,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0033.mp3"" type=""audio/mpeg""></audio>"
stim_0065,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0065.mp3"" type=""audio/mpeg""></audio>"
stim_0050,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0050.mp3"" type=""audio/mpeg""></audio>"
stim_0040,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0040.mp3"" type=""audio/mpeg""></audio>"
stim_0015,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0015.mp3"" type=""audio/mpeg""></audio>"
stim_0172,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0172.mp3"" type=""audio/mpeg""></audio>"
stim_0132,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0132.mp3"" type=""audio/mpeg""></audio>"
stim_0048,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0048.mp3"" type=""audio/mpeg""></audio>"
stim_0106,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0106.mp3"" type=""audio/mpeg""></audio>"
stim_0127,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0127.mp3"" type=""audio/mpeg""></audio>"
stim_0140,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0140.mp3"" type=""audio/mpeg""></audio>"
stim_0007,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0007.mp3"" type=""audio/mpeg""></audio>"
stim_0028,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0028.mp3"" type=""audio/mpeg""></audio>"
stim_0077,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0077.mp3"" type=""audio/mpeg""></audio>"
stim_0137,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0137.mp3"" type=""audio/mpeg""></audio>"
stim_0126,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0126.mp3"" type=""audio/mpeg""></audio>"
stim_0174,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0174.mp3"" type=""audio/mpeg""></audio>"
stim_0044,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0044.mp3"" type=""audio/mpeg""></audio>"
stim_0085,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0085.mp3"" type=""audio/mpeg""></audio>"
stim_0008,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0008.mp3"" type=""audio/mpeg""></audio>"
stim_0094,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0094.mp3"" type=""audio/mpeg""></audio>"
stim_0027,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0027.mp3"" type=""audio/mpeg""></audio>"
stim_0084,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0084.mp3"" type=""audio/mpeg""></audio>"
