stimulus_id,audio
stim_0138,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0138.mp3"" type=""audio/mpeg""></audio>"
stim_0057,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0057.mp3"" type=""audio/mpeg""></audio>"
stim_0132,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0132.mp3"" type=""audio/mpeg""></audio>"
stim_0102,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0102.mp3"" type=""audio/mpeg""></audio>"
stim_0037,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0037.mp3"" type=""audio/mpeg""></audio>"
stim_0007,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0007.mp3"" type=""audio/mpeg""></audio>"
stim_0111,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0111.mp3"" type=""audio/mpeg""></audio>"
stim_0183,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0183.mp3"" type=""audio/mpeg""></audio>"
stim_0044,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0044.mp3"" type=""audio/mpeg""></audio>"
stim_0061,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0061.mp3"" type=""audio/mpeg""></audio>"
stim_0112,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0112.mp3"" type=""audio/mpeg""></audio>"
stim_0014,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0014.mp3"" type=""audio/mpeg""></audio>"
stim_0060,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0060.mp3"" type=""audio/mpeg""></audio>"
stim_0106,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0106.mp3"" type=""audio/mpeg""></audio>"
stim_0048,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0048.mp3"" type=""audio/mpeg""></audio>"
stim_0179,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0179.mp3"" type=""audio/mpeg""></audio>"
stim_0079,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0079.mp3"" type=""audio/mpeg""></audio>"
stim_0065,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0065.mp3"" type=""audio/mpeg""></audio>"
stim_0018,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0018.mp3"" type=""audio/mpeg""></audio>"
stim_0035,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0035.mp3"" type=""audio/mpeg""></audio>"
stim_0078,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0078.mp3"" type=""audio/mpeg""></audio>"
stim_0041,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0041.mp3"" type=""audio/mpeg""></audio>"
stim_0177,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0177.mp3"" type=""audio/mpeg""></audio>"
stim_0140,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0140.mp3"" type=""audio/mpeg""></audio>"
stim_0009,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0009.mp3"" type=""audio/mpeg""></audio>"
