stimulus_id,audio
stim_0175,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0175.mp3"" type=""audio/mpeg""></audio>"
stim_0046,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0046.mp3"" type=""audio/mpeg""></audio>"
stim_0076,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0076.mp3"" type=""audio/mpeg""></audio>"
stim_0184,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0184.mp3"" type=""audio/mpeg""></audio>"
stim_0139,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0139.mp3"" type=""audio/mpeg""></audio>"
stim_0098,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0098.mp3"" type=""audio/mpeg""></audio>"
stim_0086,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0086.mp3"" type=""audio/mpeg""></audio>"
stim_0061,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0061.mp3"" type=""audio/mpeg""></audio>"
stim_0044,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0044.mp3"" type=""audio/mpeg""></audio>"
stim_0140,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0140.mp3"" type=""audio/mpeg""></audio>"
stim_0065,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0065.mp3"" type=""audio/mpeg""></audio>"
stim_0063,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0063.mp3"" type=""audio/mpeg""></audio>"
stim_0083,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0083.mp3"" type=""audio/mpeg""></audio>"
stim_0183,"<audio controls preload=""none"" style=""width:100%""><source src=""AUDIO_BASE_URL/stim_0183.mp3"" type=""audio/mpeg""></audio>"
